word,On Time (Early),Overdue (Late),log_ratio
attempt,1.2823999451663472e-5,7.140177415255775e-4,5.799041747973549
swap,8.401930675227791e-6,4.296208444772543e-4,5.676199299800377
registered,1.989930949396056e-5,5.309750577870291e-4,4.737853817714166
towed,1.4592826962237744e-5,2.480909101910905e-4,4.08753757899891
persists,2.387917139275267e-5,3.85751110358098e-4,4.0138456284346695
wl,7.959723797584223e-6,1.1345620892885237e-4,3.8332733827928487
actively,0.0022954959018477612,0.025721278938897023,3.486084618040921
patrols,0.0022738277648432265,0.02519181663056238,3.469760277388363
responds,0.0022738277648432265,0.025190303881109995,3.4696736420458425
encourage,0.0022831141092737417,0.025185765632752842,3.463533716870946
assistance,0.002301244591257128,0.025193329380014763,3.4525555556445138
cases,0.0023114153494429297,0.02523719911413392,3.448703372305241
transportation,0.0023180484526075834,0.025276530599895923,3.4468158285502435
many,0.0023560782440849304,0.025203918626181456,3.4191887006630917
possible,0.002366249002270732,0.025273505100991155,3.4169519581560857
directly,0.0023865905186423366,0.025222071619610074,3.4016638154616334
streets,0.002470167618516971,0.025308298338396002,3.3569296603850454
parking,0.0026218445775487145,0.025273505100991155,3.2689716903676453
related,0.001961187502349224,0.01877473345354649,3.258993047507147
reporting,0.0026713717478447944,0.025250813859205384,3.2406772277661164
need,0.002746546917044201,0.02536275731868185,3.207020755391293
nd,4.1125239620851824e-5,3.615471191199429e-4,3.136087690611997
agent,1.813048198338629e-5,1.5581319359562391e-4,3.1033282163044147
call,0.0033015165484868787,0.02574245743123041,2.9629490005225434
according,1.945710261631699e-5,1.4371119797654632e-4,2.8848036834329305
outreach,1.326620632930704e-5,9.681596495262068e-5,2.8674890981307617
improved,3.626096396677258e-5,2.632184047149375e-4,2.859771184969925
july,7.517516919940656e-6,5.2946230833464435e-5,2.816199869433907
communication,3.979861898792112e-5,2.617056552625528e-4,2.71715482504633
patched,7.252192793354515e-5,4.6743958078687177e-4,2.688290717025571
feedback,1.4592826962237744e-5,9.076496714308189e-5,2.6368761699893453
ad,2.4763585148039807e-5,1.5127494523846981e-4,2.6108809614564006
since,5.306482531722816e-5,3.0254989047693963e-4,2.511345287905486
consider,3.4049929578554735e-5,1.800171848337791e-4,2.4024109163523226
sr,3.051227455740619e-5,1.588386925003933e-4,2.3801007546272337
bwsc,6.854206603475303e-5,3.524706224056347e-4,2.362441433119323
ht,7.075310042297087e-5,3.615471191199429e-4,2.3533184068326665
city,0.0054767321796155895,0.025855913640159264,2.2391070472866663
much,6.146675599245596e-5,2.8137139814355387e-4,2.1945974321238038
respond,4.2009653376138956e-5,1.8304268373854849e-4,2.1233873226829267
sinkhole,1.4150620084594176e-5,5.899722864300323e-5,2.0597819126015287
alert,1.0612965063445632e-5,4.386973411915625e-5,2.047398188145696
relations,8.313489299699079e-5,3.403686267865571e-4,2.0335720332786797
extenet,1.1939585696376336e-5,4.6895233023925646e-5,1.9736885019626869
engineers,1.2823999451663472e-5,4.9920731928695044e-5,1.9607928179701615
rules,2.8743447046831918e-5,1.0891796057169827e-4,1.9219368821531382
x,1.2381792574019904e-5,4.6895233023925646e-5,1.9212210820685514
excluding,2.21103438821784e-5,8.32012198811584e-5,1.911883217489215
speak,4.598951527493107e-5,1.6942793866708621e-4,1.8812948976557922
holidays,2.2994757637465535e-5,8.471396933354311e-5,1.8812948976557922
approval,2.432137827039624e-5,8.925221769069719e-5,1.8756630295764618
enforcement,0.007236273345759346,0.02563959046846825,1.8250544074997692
initial,1.3708413206950608e-5,4.840798247631034e-5,1.8201833833524048
prior,2.8743447046831918e-5,1.0135421330977478e-4,1.818101071168598
operations,6.809985915710947e-5,2.3750166402439763e-4,1.802213901936006
review,2.2994757637465535e-5,8.017572097638901e-5,1.8018604301613872
sites,2.5647998903326944e-5,8.77394682383125e-5,1.7743796937392802
boston,0.014433190279408415,0.04904938824412146,1.7648449178200771
head,2.653241265861408e-5,8.77394682383125e-5,1.7254700932583338
pavement,1.768827510574272e-5,5.7484479190618535e-5,1.7003791122955034
problem,9.507447869336712e-5,3.0860088828647846e-4,1.6986121861213155
dispatched,2.6974619536257646e-5,8.32012198811584e-5,1.6250020697010534
efforts,1.326620632930704e-5,4.084423521438685e-5,1.6223766002942301
marking,1.3708413206950608e-5,4.084423521438685e-5,1.5750708855158735
timings,3.051227455740619e-5,9.076496714308189e-5,1.5727458325696295
delv,0.0017029386858053803,0.00496181820382181,1.5428423854477404
special,3.272330894562403e-5,9.530321550023599e-5,1.5422062516102468
filled,3.259064688233096e-4,9.363919110261282e-4,1.5226544838584752
timing,1.8572688861029855e-5,5.2946230833464435e-5,1.5113452879054863
thank,0.009543266626425842,0.027075189698781327,1.5044163606308694
cart,0.001958976467961006,0.005530611997918457,1.4973390653549692
ran,3.272330894562403e-5,9.22777165954666e-5,1.4956636656732167
adjusted,3.979861898792112e-5,1.1194345947646767e-4,1.491979963038555
reviewed,4.9527170296079615e-5,1.3766020016700754e-4,1.4748194118803724
natlgrid,2.7859033291544782e-5,7.715022207161962e-5,1.4695251122108595
dcr,3.0158509055291336e-4,8.335249482639687e-4,1.4666602732862652
external,2.0695281873718983e-4,5.703065435490312e-4,1.4624356874245399
mass,4.820054966314891e-5,1.3160920235746876e-4,1.4491388648110821
fixtures,1.2823999451663472e-5,3.479323740484806e-5,1.439960654668721
response,3.758758459970328e-5,1.0135421330977478e-4,1.431077948059351
restaurant,1.6361654472812016e-5,4.386973411915625e-5,1.4229073232379024
whatever,1.5035033839881312e-5,3.9331485762002156e-5,1.387356570630033
repaired,3.665895015665179e-4,9.530321550023599e-4,1.3783594206308087
taken,9.197903054986214e-5,2.3750166402439763e-4,1.3685607244898153
traffic,2.127015081465562e-4,5.476153017632607e-4,1.3643324970524435
washed,2.0783723249247697e-5,5.2946230833464435e-5,1.349073859006609
june,1.3708413206950608e-5,3.479323740484806e-5,1.3437453394094179
hot,6.63310316465352e-5,1.679151892147015e-4,1.3399768695935053
users,1.326620632930704e-5,3.328048795246336e-5,1.3269207167680588
agency,2.4365598958160596e-4,6.096380293110334e-4,1.32310721369609
support,1.4592826962237744e-5,3.630598685723276e-5,1.3149480751019829
nagle,3.051227455740619e-5,7.563747261923491e-5,1.3097114267358358
permitted,4.0240825865564684e-5,9.832871440500538e-5,1.2889528665690384
b,1.326620632930704e-5,3.1767738500078665e-5,1.259806520909522
overhead,4.9527170296079615e-5,1.1799445728600646e-4,1.2524269905439243
reallocated,2.2994757637465535e-5,5.445898028584914e-5,1.2438649770405004
ref,1.989930949396056e-5,4.6895233023925646e-5,1.2367229077964805
everything,5.085379092901032e-5,1.1799445728600646e-4,1.2142918616571532
happening,1.9014895738673424e-5,4.386973411915625e-5,1.2060959341647544
staff,1.5433020029760524e-4,3.5549612131040406e-4,1.2038134140946275
turn,2.255255075982197e-5,5.143348138107974e-5,1.189417193018124
thru,4.0683032743208254e-5,9.22777165954666e-5,1.1815550752451538
light,2.7814812603780425e-4,6.308165216444191e-4,1.1813670603046547
states,6.76576522794659e-5,1.5127494523846981e-4,1.1608480408213528
engineering,4.0683032743208254e-5,8.925221769069719e-5,1.1334607870441085
pullbox,1.7246068228099152e-5,3.7818736309617454e-5,1.1328336646517565
acorn,4.156744649849539e-5,9.076496714308189e-5,1.126681437670161
forwarded,2.1668137004534833e-5,4.6895233023925646e-5,1.113866160010947
ngrid,1.547724071752488e-5,3.328048795246336e-5,1.104528295431611
sequence,1.4150620084594176e-5,3.0254989047693966e-5,1.0963077886266426
taps,2.1225930126891263e-5,4.5382483571540944e-5,1.0963077886266424
operator,3.139668831269333e-5,6.656097590492672e-5,1.0840641928718953
discussed,1.7246068228099152e-5,3.630598685723276e-5,1.073939975598188
guest,1.7246068228099152e-5,3.630598685723276e-5,1.073939975598188
consistent,2.1668137004534833e-5,4.5382483571540944e-5,1.0665604452325903
included,1.5919447595168446e-5,3.328048795246336e-5,1.0638863109342651
concurrent,2.4763585148039807e-5,5.143348138107974e-5,1.0544876129320153
national,5.173820468429746e-5,1.0740521111931358e-4,1.0537620936605578
cross,1.4592826962237744e-5,3.0254989047693966e-5,1.0519136692681892
massdot,1.9014895738673424e-5,3.9331485762002156e-5,1.0485546571782745
photocell,4.643172215257464e-5,9.530321550023599e-5,1.037414099573074
connections,2.21103438821784e-5,4.5382483571540944e-5,1.037414099573074
scooter,1.989930949396056e-5,4.084423521438685e-5,1.0374140995730738
grid,6.102454911481238e-5,1.2404545509554524e-4,1.0234072415791946
pothole,2.3304302451816034e-4,4.7349057859641055e-4,1.0227393890346839
comments,1.5035033839881312e-5,3.0254989047693966e-5,1.008844947376303
asphalt,1.4283282147887247e-4,2.843968970483233e-4,0.9935781907229926
th,1.0524523687916918e-4,2.0875942442908835e-4,0.9880863872095056
potholes,2.1358592190184333e-4,4.235698466677155e-4,0.9877833318484734
resubmit,3.0600715932934904e-4,6.06612530406264e-4,0.9872098925574759
priority,3.228110206798046e-5,6.353547700015733e-5,0.9768725576380234
customer,1.8572688861029855e-5,3.630598685723276e-5,0.9670247716816761
findings,2.4763585148039807e-5,4.840798247631034e-5,0.967024771681676
good,6.279337662538666e-5,1.2253270564316056e-4,0.9644825771192228
guidelines,1.6361654472812016e-5,3.1767738500078665e-5,0.9572437508890907
feed,6.323558350303022e-5,1.2101995619077586e-4,0.9364364518482532
signals,3.4049929578554735e-5,6.504822645254203e-5,0.9338579077464768
power,9.374785806043642e-5,1.7850443538139439e-4,0.9291022885379221
mbta,6.677323852417877e-5,1.2404545509554524e-4,0.8935269590322849
requires,4.643172215257464e-5,8.62267187859278e-5,0.8930241902378993
hickey,5.483365282780243e-5,1.0135421330977478e-4,0.8862725738101774
happy,3.051227455740619e-5,5.597172973823383e-5,0.8753086025900608
phase,4.2451860253782526e-5,7.715022207161962e-5,0.8618425349896196
jp,1.5035033839881312e-5,2.722949014292457e-5,0.8568418539312531
broken,2.555955752779823e-4,4.6290133242971764e-4,0.856841853931253
fill,1.5919447595168446e-5,2.8742239595309267e-5,0.8523822057405533
quickly,4.1125239620851824e-5,7.412472316685021e-5,0.849930726746457
knocker,2.1225930126891263e-5,3.7818736309617454e-5,0.8332733827928486
hole,2.9185653924475488e-5,5.143348138107974e-5,0.8174484156311661
report,2.073950256148334e-4,3.6305986857232755e-4,0.8078261768324221
signal,1.0657185751209988e-4,1.845554331909332e-4,0.7922276950722049
bill,6.014013535952525e-5,1.0286696276215948e-4,0.7743796937392802
chemicals,2.5647998903326944e-5,4.386973411915625e-5,0.7743796937392802
follows,2.4763585148039807e-5,4.2356984666771553e-5,0.7743796937392802
daily,1.5035033839881312e-5,2.571674069053987e-5,0.7743796937392802
walk,1.0259199561330777e-4,1.724534375718556e-4,0.7492887127764498
remains,1.547724071752488e-5,2.571674069053987e-5,0.732559518044653
see,4.6741266966925137e-4,7.730149701685808e-4,0.7257995132942185
now,1.618477172175459e-4,2.662439036197069e-4,0.718111474092535
ep,2.5205792025683374e-5,4.084423521438685e-5,0.6963771817380071
poles,1.6803861350455583e-5,2.722949014292457e-5,0.6963771817380071
electrical,2.432137827039624e-5,3.9331485762002156e-5,0.6934596983557126
washing,1.5035033839881312e-5,2.420399123815517e-5,0.6869168524889407
dp,2.4763585148039807e-5,3.9331485762002156e-5,0.6674644898227682
sending,5.925572160423811e-5,9.379046604785129e-5,0.6624868136683829
duty,1.7246068228099152e-5,2.722949014292457e-5,0.6589024763193442
